Local time,Ask,Bid,AskVolume,BidVolume
12.04.2018 09:31:43.593 GMT-0400,173.083,173.05700000000002,120,75
12.04.2018 09:31:44.208 GMT-0400,173.08200000000002,173.058,120,230
12.04.2018 09:31:44.514 GMT-0400,173.072,173.047,62,300
12.04.2018 09:31:45.395 GMT-0400,173.083,173.047,120,300
12.04.2018 09:31:46.023 GMT-0400,173.073,173.037,120,670
12.04.2018 09:31:46.526 GMT-0400,173.063,173.037,100,750
12.04.2018 09:31:46.686 GMT-0400,173.073,173.037,110,370
12.04.2018 09:31:46.787 GMT-0400,173.08200000000002,173.042,10700.0005,7499.9998
12.04.2018 09:31:46.891 GMT-0400,173.063,173.042,100,7499.9998
12.04.2018 09:31:47.478 GMT-0400,173.08200000000002,173.048,10200.0004,450
12.04.2018 09:31:47.589 GMT-0400,173.083,173.067,120,75
12.04.2018 09:31:47.640 GMT-0400,173.08200000000002,173.058,120,75
12.04.2018 09:31:47.741 GMT-0400,173.113,173.08700000000002,120,120
12.04.2018 09:31:48.403 GMT-0400,173.131,173.088,62,350
12.04.2018 09:31:48.504 GMT-0400,173.123,173.08700000000002,120,47
12.04.2018 09:31:48.652 GMT-0400,173.131,173.078,62,75
12.04.2018 09:31:48.702 GMT-0400,173.132,173.088,120,75
12.04.2018 09:31:48.812 GMT-0400,173.143,173.08700000000002,120,75
12.04.2018 09:31:49.035 GMT-0400,173.133,173.08700000000002,120,75
12.04.2018 09:31:49.136 GMT-0400,173.143,173.08700000000002,120,75
12.04.2018 09:31:49.328 GMT-0400,173.133,173.08700000000002,120,75
12.04.2018 09:31:49.703 GMT-0400,173.122,173.09799999999998,100,670
12.04.2018 09:31:50.292 GMT-0400,173.123,173.097,40,670
12.04.2018 09:31:50.392 GMT-0400,173.143,173.108,62,150
12.04.2018 09:31:51.065 GMT-0400,173.14200000000002,173.09799999999998,120,670
12.04.2018 09:31:51.720 GMT-0400,173.133,173.097,120,750
12.04.2018 09:31:52.285 GMT-0400,173.132,173.09799999999998,120,750
12.04.2018 09:31:52.600 GMT-0400,173.132,173.108,120,150
12.04.2018 09:31:53.234 GMT-0400,173.122,173.108,60,220
12.04.2018 09:31:53.443 GMT-0400,173.133,173.107,120,310
12.04.2018 09:31:53.493 GMT-0400,173.123,173.107,100,220
12.04.2018 09:31:53.875 GMT-0400,173.14200000000002,173.107,62,310
12.04.2018 09:31:53.926 GMT-0400,173.14200000000002,173.118,62,75
12.04.2018 09:31:54.413 GMT-0400,173.132,173.118,100,75
12.04.2018 09:31:54.463 GMT-0400,173.132,173.108,100,220
12.04.2018 09:31:55.223 GMT-0400,173.153,173.11700000000002,10499.9999,11
12.04.2018 09:31:55.374 GMT-0400,173.183,173.137,120,7
12.04.2018 09:31:55.425 GMT-0400,173.18200000000002,173.128,120,10499.9999
12.04.2018 09:31:55.613 GMT-0400,173.18200000000002,173.158,120,75
12.04.2018 09:31:56.363 GMT-0400,173.183,173.157,120,820
12.04.2018 09:31:56.482 GMT-0400,173.19299999999998,173.157,120,820
12.04.2018 09:31:56.910 GMT-0400,173.183,173.157,120,820
12.04.2018 09:31:57.382 GMT-0400,173.173,173.157,10,400
12.04.2018 09:31:57.779 GMT-0400,173.16299999999998,173.153,120,7499.9998
12.04.2018 09:31:57.830 GMT-0400,173.16299999999998,173.127,120,75
12.04.2018 09:31:58.043 GMT-0400,173.14200000000002,173.108,120,300
12.04.2018 09:31:58.774 GMT-0400,173.133,173.107,120,10400
12.04.2018 09:31:58.995 GMT-0400,173.133,173.097,120,750
12.04.2018 09:31:59.610 GMT-0400,173.132,173.09799999999998,120,900
12.04.2018 09:32:00.701 GMT-0400,173.133,173.097,120,1420
12.04.2018 09:32:01.608 GMT-0400,173.133,173.107,120,150
12.04.2018 09:32:03.152 GMT-0400,173.122,173.108,120,170
12.04.2018 09:32:03.661 GMT-0400,173.123,173.107,120,99
12.04.2018 09:32:04.058 GMT-0400,173.113,173.097,100,11800.0004
12.04.2018 09:32:04.108 GMT-0400,173.122,173.097,62,1350
12.04.2018 09:32:04.589 GMT-0400,173.102,173.092,100,7499.9998
12.04.2018 09:32:05.036 GMT-0400,173.122,173.088,10400,200
12.04.2018 09:32:05.307 GMT-0400,173.102,173.088,100,200
12.04.2018 09:32:05.692 GMT-0400,173.123,173.097,10300.0002,81
12.04.2018 09:32:05.832 GMT-0400,173.123,173.08700000000002,10200.0004,200
12.04.2018 09:32:06.598 GMT-0400,173.122,173.088,120,200
12.04.2018 09:32:07.588 GMT-0400,173.123,173.08700000000002,120,350
12.04.2018 09:32:08.131 GMT-0400,173.122,173.088,120,350
12.04.2018 09:32:08.597 GMT-0400,173.133,173.097,100,310
12.04.2018 09:32:08.701 GMT-0400,173.132,173.118,100,220
12.04.2018 09:32:09.472 GMT-0400,173.14200000000002,173.118,120,230
12.04.2018 09:32:09.604 GMT-0400,173.162,173.128,100,78
12.04.2018 09:32:10.177 GMT-0400,173.169,173.127,62,78
12.04.2018 09:32:10.528 GMT-0400,173.18099999999998,173.128,62,380
12.04.2018 09:32:10.578 GMT-0400,173.172,173.138,100,160
12.04.2018 09:32:10.679 GMT-0400,173.203,173.148,120,9999.9998
12.04.2018 09:32:11.465 GMT-0400,173.202,173.158,80,76
12.04.2018 09:32:11.599 GMT-0400,173.202,173.178,120,220
12.04.2018 09:32:12.348 GMT-0400,173.203,173.17700000000002,120,900
12.04.2018 09:32:13.650 GMT-0400,173.202,173.178,120,900
12.04.2018 09:32:13.760 GMT-0400,173.233,173.188,120,9999.9998
12.04.2018 09:32:14.533 GMT-0400,173.232,173.188,120,9999.9998
12.04.2018 09:32:14.862 GMT-0400,173.243,173.20700000000002,10300.0002,22
12.04.2018 09:32:14.913 GMT-0400,173.232,173.208,120,15
12.04.2018 09:32:15.560 GMT-0400,173.243,173.20700000000002,120,15
12.04.2018 09:32:15.610 GMT-0400,173.247,173.218,62,8
12.04.2018 09:32:15.934 GMT-0400,173.27200000000002,173.238,10499.9999,160
12.04.2018 09:32:16.347 GMT-0400,173.262,173.238,120,7
12.04.2018 09:32:16.570 GMT-0400,173.263,173.227,100,460
12.04.2018 09:32:16.694 GMT-0400,173.263,173.23700000000002,120,150
12.04.2018 09:32:17.477 GMT-0400,173.253,173.228,120,7499.9998
12.04.2018 09:32:17.528 GMT-0400,173.232,173.198,10800.0003,1949.9999
12.04.2018 09:32:18.508 GMT-0400,173.233,173.197,120,1650
12.04.2018 09:32:18.862 GMT-0400,173.222,173.188,120,97
12.04.2018 09:32:19.255 GMT-0400,173.21200000000002,173.188,10,97
12.04.2018 09:32:19.356 GMT-0400,173.21200000000002,173.18099999999998,120,7499.9998
12.04.2018 09:32:19.500 GMT-0400,173.222,173.18099999999998,120,7499.9998
12.04.2018 09:32:19.550 GMT-0400,173.21200000000002,173.18099999999998,120,7499.9998
12.04.2018 09:32:20.341 GMT-0400,173.213,173.17700000000002,120,820
12.04.2018 09:32:21.008 GMT-0400,173.21200000000002,173.178,120,820
